species_key,scientific_name,common_name,group,total_records,records_with_uncertainty,median_uncertainty_m,records_high_precision,records_low_precision,temporal_span_years,recent_records_5yr,unique_institutions,human_observations,specimens
lemur_catta,Lemur catta,Ring-tailed Lemur,Mammals,496,496,30318.0,0,485,24,254,2,496,0
propithecus_verreauxi,Propithecus verreauxi,Verreaux's Sifaka,Mammals,444,403,30237.0,2,395,24,198,3,403,41
brookesia_micra,Brookesia micra,Nosy Hara Leaf Chameleon,Reptiles,3,3,31092.0,0,3,8,2,1,3,0
furcifer_pardalis,Furcifer pardalis,Panther Chameleon,Reptiles,601,510,250.0,172,173,23,336,4,593,8
coua_caerulea,Coua caerulea,Blue Coua,Birds,1000,213,8.0,190,7,1,1000,4,1000,0
vanga_curvirostris,Vanga curvirostris,Hook-billed Vanga,Birds,1000,121,7.0,100,12,5,1000,4,999,0
